blocks,width,depth_width_ratio,param_count,param_error,train_visual_token_budget,supervised_positions_per_image,train_image_budget,patch_aofe,patch_log10_aofe,patch_aofe_ratio,patch_agop_mean_cos2,patch_aofe_total_energy,steps,planned_steps,images_per_step,effective_train_images,final_train_loss,final_val_loss,best_val_loss,wtw_stem_mean_cos2
12,120,0.1,3126963,126963,62539260,665.6,93960,10.829233169555664,1.0345977048227923,0.653717041015625,0.07292670756578445,16.565628051757812,735.0,735.0,128.0,94080.0,0.006064764689654112,0.006312992432577584,0.006312992432577584,0.008064256981015205
13,112,0.11607142857142858,2951427,-48573,59028540,665.6,88685,26.901229858398438,1.4297721353372195,0.722415030002594,0.10010890662670135,37.2379150390625,693.0,693.0,128.0,88704.0,0.005837917327880859,0.0063777998539502065,0.0063777998539502065,0.0086797084659338
14,112,0.125,3177891,177891,63557820,665.6,95490,4.716769218444824,0.6736446276538322,0.5728815197944641,0.051775045692920685,8.23341178894043,747.0,747.0,128.0,95616.0,0.00568832503631711,0.006317982107424374,0.006317982107424374,0.009227694012224674
15,104,0.14423076923076922,2936547,-63453,58730940,665.6,88238,10.833242416381836,1.0347584614995782,0.7096085548400879,0.0942467525601387,15.266504287719727,690.0,690.0,128.0,88320.0,0.006512877065688372,0.006708621937845181,0.006708621937845181,0.009198067709803581
16,104,0.15384615384615385,3131859,131859,62637180,665.6,94107,14.528130531311035,1.162209733212626,0.7228077054023743,0.1011032685637474,20.099578857421875,736.0,736.0,128.0,94208.0,0.0065755113027989864,0.0065594953912612945,0.006477379761880059,0.00975347775965929
17,96,0.17708333333333334,2836227,-163773,56724540,665.6,85224,17.82402801513672,1.2510058561019004,0.7916969656944275,0.1463078409433365,22.513700485229492,666.0,666.0,128.0,85248.0,0.006768370978534222,0.007102223746091206,0.006838729481448657,0.010747276246547699
18,96,0.1875,3002691,2691,60053820,665.6,90226,8.203081130981445,0.913977006877475,0.6786381602287292,0.08483203500509262,12.087562561035156,705.0,705.0,128.0,90240.0,0.006707843393087387,0.0065870667622734145,0.0065870667622734145,0.010683391243219376
19,96,0.19791666666666666,3169155,169155,63383100,665.6,95228,25.158710479736328,1.4006883773977585,0.7804073095321655,0.139284148812294,32.23792266845703,744.0,744.0,128.0,95232.0,0.006237821187824011,0.006483049928086123,0.006469942651015066,0.012212417088449001
20,88,0.22727272727272727,2804211,-195789,56084220,665.6,84262,10.236550331115723,1.0101536261153063,0.7634458541870117,0.1263943612575531,13.408350944519043,659.0,659.0,128.0,84352.0,0.0067214882001280785,0.0068593976248424535,0.0068432150588658485,0.011079322546720505
21,88,0.23863636363636365,2944131,-55869,58882620,665.6,88466,8.718195915222168,0.9404266242531136,0.7487366199493408,0.11600763350725174,11.643875122070312,692.0,692.0,128.0,88576.0,0.006739659234881401,0.006659234642897864,0.006659234642897864,0.011765574105083942
22,88,0.25,3084051,84051,61681020,665.6,92670,5.800479412078857,0.763463889669146,0.6483460068702698,0.07190191745758057,8.946579933166504,724.0,724.0,128.0,92672.0,0.006224645767360926,0.006352162597147778,0.006352162597147778,0.010706974193453789
23,88,0.26136363636363635,3223971,223971,64479420,665.6,96875,17.814895629882812,1.2507832823424514,0.7708761692047119,0.12992432713508606,23.10993194580078,757.0,757.0,128.0,96896.0,0.0062011973932385445,0.006460418985639818,0.006397794201098457,0.010684403590857983
24,80,0.3,2781603,-218397,55632060,665.6,83582,17.541799545288086,1.2440741439045928,0.8193385601043701,0.1761629730463028,21.40970802307129,653.0,653.0,128.0,83584.0,0.007284811232239008,0.006882092394039628,0.006881376106138958,0.012957466766238213
